1278705043,@starsportsindia chillana h toh india-india chillana pak-pak toh murgi bhi karti h.. #indvspak,"
Covertly Aggressive
",General Non-threatening Aggression
1278697334,swachh abhiyan delhi se shuru #aapsweep,"
Covertly Aggressive
",Political Aggression
1278697335,"@drkumarvishwas koi divana kahata hai, koi pagala samajhata hai, magara dilli ki becaini ko basa kejarivala samajhata hai...!! @chutkla #aapsweep #5saalkejriwal","
Covertly Aggressive
",Political Aggression
1278697336,haare ga koi na koi team zarur haare ga 'chak de india' #cwc15 #indvssa,"
Non Aggressive
",-
1278697337,#aaptards meri free bijli /pani/wifi kahan hai? subha se kuch free nai mila #aapsweep @aamaadmiparty,"
Covertly Aggressive
",Political Aggression
1278697338,.@jrsehgal bilkul paaji kehke lenge kehke #indvspak #wewontgiveitback,"
Overtly Aggressive
",Geographical Aggression
1278697339,dillita 'apa'cya jhadune bhajapaca suphada'sapha' http://t.co/rcetbapnio #delhidecides #politics #sakal #delhiassemblyelectionresult #newdelhi,"
Non Aggressive
",-
1278697340,"#msgincinemas palkon par aakar ruk jaate hain aansu mann tokarta hai beh jane du inku par ""meet""ki hasi ko dekh kar ruk jaate hain aansu""","
Non Aggressive
",-
1278697341,#delhidecides isi bica modi ji ne aja hi ghara ke bahara tenta lagava diya hai ki aja bjp ki baithaka karemge aura kala se kejari ke dharana karane me asani rahegi !,"
Covertly Aggressive
",Political Aggression
1278697342,bc rana auta hai| #indvssa,"
Covertly Aggressive
",Curse / Abuse
1278697343,rt @iamyoge: abd ab bowlers ki abcd nikaal raha hai #indvssa,"
Non Aggressive
",-
1278697344,"rt @antuinsan: @gurmeetramrahim tumhe likha kara rakha lu~ kisi dayari mem bana kara laphja़ chupa kara sabase padhata rahu~ vaka़ta be vaka़ta"" #msg3successfulweeks","
Non Aggressive
",-
1278697345,"1:00pm-bharatiya rela ko teja banaya jaega, 9 nae hai s‍pida kaॉridora banae jaemge http://t.co/bpvpw6cc0a #railbudget2015 #budget2015 #prabhukirela","
Non Aggressive
",-
1278697346,full list : kauna jite aura kauna hare ? #aapsweep #delhidecides #delhi #kejriwalontvf @aamaadmiparty @bjpsamvad http://t.co/qog7jcsz4z,"
Non Aggressive
",-
1278697347,pakistaniyun ke patakhe aj bhi nai jalenge shayad 😂 #indvspak,"
Covertly Aggressive
",Geographical Aggression
1278697348,bhagavana ae haim...svagata nahim karoge.. #indvssa #sachinsachin,"
Non Aggressive
",-
1278697349,@gurmeetramrahim #blockbustermsg har bala sar pe aa jaye lekin husn walon se allah bachaye,"
Covertly Aggressive
",Gendered Aggression
1278697350,@ksinsan bhai ji ye update kha s mili #blockbustermsg,"
Non Aggressive
",-
1278697351,rt @bawandarbaaz: imsanom ko maja़haba ke nama para mara dene para abhi bhi koi roka nahim hai...apa basa gau-hatya roka dijiye| #beefban #beefbanned,"
Overtly Aggressive
",Political Aggression
1278697352,adhana pathen enga seekiram match mudinjidumo nu..😕 namma aaluga no loss laye win panna matainga..😑 #indvsuae,"
Non Aggressive
",-
1278697353,@mufeed @vikrambipin 90 % indians ka world cup final kal hai #indvspak mein india jeet jaaye baaki sab maaf hai.,"
Overtly Aggressive
",Geographical Aggression
1278697354,"dilli me free wifi ke liye search kare namo password hai ""15lakha "" .. aura yaha ka़tai cunavi jumala nahim hai #aapsweep","
Covertly Aggressive
",Political Aggression
1278697355,chalo indian cricket team ab waapas aajao hum hindustaniyo ke liye tumne world cup jeet liya! #indvspak,"
Covertly Aggressive
",Geographical Aggression
1278697356,@aamaadmiparty ke jhadoo ne #delhidecides se saaf kar diya bjp ke khichad (corruption aur arrogance) ko,"
Overtly Aggressive
",Political Aggression
1278697357,"#aapsweep ab ki baar '10 saal, kejriwal'","
Non Aggressive
",-
1278697358,"kisi ne saca hi kaha.. patrakarom ko ""sutra"" se aura daॉktarom ko ""mutra"" se bahuta si avazyaka janakariya~ mila jati haim | #landacquisitionbill","
Covertly Aggressive
",Political Aggression
1278697359,kisi pe kicaड़ phe~koge to chitem tuma para bhi ayemgi aura vo chite~ surf excel se bhi na dhula payemgi. 67-3 #aapsweep #delhidecides,"
Covertly Aggressive
",Political Aggression
1278697360,"ina cunavom mem basa kamgresa hi aisi thi, jisane ummida ke mutabika pradarzana kiya :p #aapsweep #delhidecides","
Covertly Aggressive
",Political Aggression
1278697361,apa ko cara adami parti bolane vali bijepi ki cara adami ne arthi utha di. delahi bijepi aba ऑto parti ho gayi. #kiskidilli #delhidecides #aapsweep,"
Overtly Aggressive
",Political Aggression
1278697362,amala != amvala #indvssa,"
Covertly Aggressive
",General Non-threatening Aggression
1278697363,modi ji ne deza ki janata se caukidari karane ka avasara ma~ga tha para yaha nahim bataya caukidari 10 lakha ka suta pahana kara karu~ga #aapsweep,"
Covertly Aggressive
",Political Aggression
1278697364,#railbudget2015: @railminindia @sureshpprabhu ne kaha #makeinindia #digitalindia aura #skillindia para rahega jora #prabhukapitara,"
Non Aggressive
",-
1278697365,#shamitabh mein pani chadhti hai.pani ka ling parivartan...hahaha #thokhindi,"
Covertly Aggressive
",General Non-threatening Aggression
1278697366,phaiज़la khattama | @abdevilliers17 #indvssa,"
Overtly Aggressive
",General Non-threatening Aggression
1278697367,rt @amarujalanews: 'bhumi adhigrahana' para apanom se hi ghire modi http://t.co/9lezo6qbkc #landacquisitionbill #modisarkar http://t.co/3h46m4kgq3,"
Non Aggressive
",-
1278697368,rt @choriketweet: aphrika ke baॉlara laga rahe cutiye camana kyomki unhem dho raha apana zikhara dhavana #indvssa,"
Overtly Aggressive
",General Non-threatening Aggression
1278697369,waqar younis bhains jaisa dikh rha hai. #indvspak,"
Overtly Aggressive
",General Non-threatening Aggression
1278697370,ek baar ka hero.. isko toh zero banta haii bosss.. #congress #5saalkejriwal #delhidecides #aapkidilli #feb10witharnab,"
Covertly Aggressive
",Political Aggression
1278697371,#shamitabh ippovay neraya theater la thookitanga..adutha target #dangamaari dhaan.. :-p,"
Non Aggressive
",-
1278697372,"#railbudget2015 100 stezanom ka phira se vikasa, bajara parisarom ke nirmana ke liye khali jagahom ka upayoga tatha anya vanijyika pariyojanaem |","
Non Aggressive
",-
1278697373,namo is kadarkhan &amp; delhi ki janta is johnny lever #aapsweep #delhipolls https://t.co/harp28uwif,"
Covertly Aggressive
",Political Aggression
1278697374,bharata aura uae ke bica cala rahe maica ko dekhakara aisa laga raha hai jaise duniya ka sara samaya mere hi pasa hai| #indvsuae,"
Covertly Aggressive
",General Non-threatening Aggression
1278697375,ab dhulai shuru lagey raho dhawan and kohli #indvssa #cwc15,"
Covertly Aggressive
",General Non-threatening Aggression
1278697376,mujhy lagta hai mujhy thora parh lena chahiye. agar jeet gye tou khushi sy parha nahi jana. haar gye tou ghum sy nahi parha jana. #indvspak,"
Non Aggressive
",-
1278697377,kejriwal ji pakistana apane ahamkara ki vajaha se hara hai | hamem ahamkara nahim karana | #worldcup2015 #indvspak #indiavspakistan,"
Covertly Aggressive
",Political Aggression
1278697378,@gurmeetramrahim #blockbustermsg ...dhan dhan satguru tera hi aasra pitag,"
Non Aggressive
",-
1278697379,rt @santoshtrivedi: cara mahine ke bajaya tikata ki bukimga nau mahine pahale honi cahie taki dilivari ke taima trena se taimali pahu~ca ja sake :-)#railbu…,"
Covertly Aggressive
",General Non-threatening Aggression
1278697380,lagata hai misbaha eka chora para khaड़e khaड़e bora ho gae hai #indvspak,"
Covertly Aggressive
",General Non-threatening Aggression
1278697381,aaj ke baad koi bhi india se galti se bhi patakho waala mazaak nahi karega.xd #indvssa,"
Covertly Aggressive
",General Non-threatening Aggression
1278697382,"@gsruba 3 idiots,ab aa rahi hai pk movie aamir ke saath @hims_negi","
Non Aggressive
",-
1278697383,bas naam hee kaafi hai. #shamitabh http://t.co/xlderhqxxv,"
Non Aggressive
",-
1278697384,"@srbachchan #ishqefillum logom mai aura hama me basa itana pharka hai...ki lauga,,,dila ko darda dete hai,aura hama,,,darda dene vale ko dila dete hai😊 #shamitabh","
Non Aggressive
",-
1278697385,"#fnind mukhyamamtri pahumce, cala pada़i varanasi-kathamamdu esi basa @upgovt #beefban #ausvafg #nirbhayainsulted #pakvsuae http://t.co/isklqupdls","
Non Aggressive
",-
1278697386,aja puri dilli mukhyamamtri banegi #aapsweep #aapkacm,"
Non Aggressive
",-
1278697387,#aapsweep kejirwal ke muffler ne congress aur bjp ka gala ghot diya #5saalkejriwal,"
Overtly Aggressive
",Political Aggression
1278697388,"bharata-paka mukabala : dhoni ne kaha, hamare khilada़iyom mem becaini nahim, hama dabava jhelane ki ksamata rakhate haim #indwins #indvspak http://t.co/25dlypskxg","
Non Aggressive
",-
1278697389,toh aaj phir #semiyaan ki #jalebi? #indvspak :),"
Covertly Aggressive
",General Non-threatening Aggression
1278697390,@gurmeetramrahim #msgincinemas g pita g aj time aya khushian da asi nch-2 khushi mnavaga aj msg a rhi a dhuma paun asi rj-2 bhngre pavaaage,"
Non Aggressive
",-
1278697391,agar aap hote to aisa hota aap hote to waisa hota ab aap aagaye dekhte he kya hota he ? :) #aapsweep @arvindkejriwal @aap,"
Covertly Aggressive
",Political Aggression
1278697392,rt @balp10: @gurmeetramrahim #msgincinemas aagya aagya feb mahina aagya khushiya khushiya liagya din 13 feb chagya chagya http://t.co/ieu…,"
Non Aggressive
",-
1278697393,@gurmeetramrahim #msgincinemas #msgthefilm thanx paaa..... love u... paaa... ram ji tera kamal.. ram ji karwa di dhamal...,"
Non Aggressive
",-
1278697394,"dilli ki hara pralayamkari hai, sampurna vinaza hai. gambhirata se lem nahim to amsu bahane vala bhi nahi milega jaise abhi koi amsu nahim gira #aapsweep","
Overtly Aggressive
",Political Aggression
1278697395,rt @jsingh341: rt yvneerudelhi: rt jsingh341: rt insaanmrinaal: rt komalinsaan: gurmeetramrahim #lovetoseemsg13feb #msgincinemas yeeaaaaah…,"
Non Aggressive
",-
1278697396,rt @punkaj__: jhadu esa cala jaise ki kisine buladojasa ghuma diya ho. #aapsweep #aapkidilli @aamaadmiparty @aapforindia @aapgujarat @youthwithaap…,"
Covertly Aggressive
",Political Aggression
1278697397,pakistaniokw kch nh bolna maine #indvssa,"
Covertly Aggressive
",Geographical Aggression
1278697398,@zzoker lehh... jab tak #indvspak ki match me maa behen na ho.. maza kahan aaye... 😂😂,"
Covertly Aggressive
",Geographical Aggression
1278697399,rt @rashmiverma: .. mauke pe mara cauka aura toda़ dala jimksa.. hara diya 23 sala bada wc mem pahali bara sautha aphrika ko| #jaiho #indvssa #bleedbl…,"
Covertly Aggressive
",General Non-threatening Aggression
1278697400,bahut bahut badhai mere mitra @nitish_swaroop .. ab dilli ka vikash aap ke haath mein #delhidecides,"
Non Aggressive
",-
1278697401,"umeza yadava ko pakistana ki tarapha se 2/3 ovarsa karavana tha, varmaapa ho jata| #indvspak","
Covertly Aggressive
",General Non-threatening Aggression
1278697402,#teamindia #indwins #indvssa aaj to #maukamauka nahi #thokathoka aakhir k liye #poonampandeykobulao,"
Covertly Aggressive
",General Non-threatening Aggression
1278697403,#aapsweep manana paड़ega kamgresa + kamyunista + mim + mamata + lalu + jadayu + samajavadi + midiya = apa ne mila kara bijepi ko hara diya |,"
Covertly Aggressive
",Political Aggression
1278697404,aba eka bara aura pakistani tima baitimga kara le to bhi maica nahi jita paegi| ... ..#jayahinda #indvspak #indwins,"
Overtly Aggressive
",Geographical Aggression
1278697405,lagata hai dizahina azahina dubatehue vipaksa ko tinake ka sahara mila gaya! para pikcara to abhi basa zuru hui hai mere dosta! #delhidecides @shaileshtewarie,"
Overtly Aggressive
",Political Aggression
1278697406,zoeba akhtara ke anusara dhoni allaha ke bande hai .. gajaba kaॉmplimemta @shoaibakhtarpk @msdhoni @abpnewshindi @abpnewstv #indvssa,"
Non Aggressive
",-
1278697407,relagaड़i ke taॉyaleta mem cuttaड़ dhone ke lie rakhe dabbe mem pahale se moti aura majabuta jamज़ira ba~dhi jaegi| #railbudget2015,"
Covertly Aggressive
",Political Aggression
1278697408,@dev_fadnavis #beefban devendra fadanvis eka salama banata he| gaumata ka azirvada hameza apake satha bana rahe|,"
Non Aggressive
",-
1278697409,loga mujhe pagala samajhakara dura bhaga rahem haim.midiya vale bhale haim jo kama se kama trp ki khatira mujhe aba taka nahim bhula pae.#aapsweep http://t.co/gowt91gaom,"
Covertly Aggressive
",Political Aggression
1278697410,@srbachchan sha...mi...tabh.... #shamitabh !!!! #shamitabhtrailer http://t.co/jz0jhntpyy wow!!!!! #shamitabh !!!!! http://t.co/4fui1qsfuv,"
Non Aggressive
",-
1278697411,"bicara misbaha, hameza blauja़ ke akhari batana jaise jimmedari sambhalata hai| phira bhi ijjata luta hi jati hai| #indvspak","
Covertly Aggressive
",Geographical Aggression
1278697412,rt @being_humor: parnell ki ghar wapasi hui hai kya? #indvssa,"
Non Aggressive
",-
1278697413,"rt @jigarceo: kamyunista vicaradhara vale rajanitijja aja pure vizva mem aura deza mem amta ke kagara para haim, #aapsweep #delhidecides http://t.co/vx5…","
Overtly Aggressive
",Political Aggression
1278697414,pak tumse naa ho paega. arrey!!! ghr wapsi krwao inki #indvspak #cwc15,"
Overtly Aggressive
",Geographical Aggression
1278697415,"modi ji ka ghamamda sarvopari hai, nahim jayemge kejarivala ke zapatha grahana samaroha mem! #aapsweep","
Overtly Aggressive
",Political Aggression
1278697416,#railbudget2015 #prabhukirail suna haim kai buleta trena diye sabhi rajyom ko|,"
Covertly Aggressive
",Political Aggression
1278697417,"atemzana ,bijali kampaniyom ko lagane vala hai karamta #aapsweep #aapstorm http://t.co/9xs340osij","
Covertly Aggressive
",Political Aggression
1278697418,"#indvssa #abdevillier #india #southafrica #live vizva kapa: daksina aphrika ka tisara viketa gira, diviliyarsa auta","
Non Aggressive
",-
1278697419,rt @nachiketsant22: duhsman ke chakke chuda de hum india wale. #cwc15 #indvspak,"
Overtly Aggressive
",Geographical Aggression
1278697420,rt @drsandeepnews24: #aapsweep: pracamda jita ke bada @arvindkejriwal ne apane apane bete #pulkit ko gale laga liya #delhidecides @aamaadmiparty ht…,"
Non Aggressive
",-
1278697421,aap ka jitna nuksaan gandhi parivar aur sangh parivar milke nahy kar sake unse jyada nuksaan bhusan parivar akela kar raha he #aapsweep,"
Overtly Aggressive
",Political Aggression
1278697422,@gurmeetramrahim ji pitaji aapko bhi bahut2 shubh kamnaye.... #blockbustermsg,"
Non Aggressive
",-
1278697423,"sutrom ki mane to dhavana, yuvi (wc2011) ka hi avatara hai #indvsuae","
Non Aggressive
",-
1278697424,deza ko 'kamgresa mukta' banane ki modi ji ki koziza mem #bjp khuda hi 'dilli mukta' ho gai| #delhidecides #aapkidilli,"
Covertly Aggressive
",Political Aggression
1278697425,pagal ho gaya ye madarchod pakistani khalli #indvspak,"
Overtly Aggressive
",Geographical Aggression
1278697426,"kalakaji sita se #aap ke avatara simha ki 19,769 votom se jita, bijepi ke haramita simha ko haraya #delhidecides #kiskidilli #aapsweep","
Non Aggressive
",-
1278697427,pakistan chudega lekin sudhrega nahi madarchod _|_ #indvspak #jayahinda https://t.co/wunhlfeiqu,"
Overtly Aggressive
",Geographical Aggression
1278697428,@atheist_club chuha suvar sab khule h bhai marji teri jo khana h kha.. gaay ko maaaf kar #beefban,"
Overtly Aggressive
",General Non-threatening Aggression
1278697429,vazimgatana posta aख़bara ne likha hai ki #delhi bharata ki janata muphta mem hara cija pana cahati hai? #aapsweep #modi,"
Covertly Aggressive
",Political Aggression
1278697430,"live nd vs sa skora: rohita zarma rana auta, 2.4 ovara mem 9 rana http://t.co/4jnfqmfilp #indvssa","
Non Aggressive
",-
1278697431,"aba ye aphavaha kisane uड़ai ki... dhoni helameta ki jagaha ""maphalara"" pahana ke varlda kapa mem khelega. #optiondee #wc2015 #worldcup #aapsweep #aapstorm","
Covertly Aggressive
",Political Aggression
1278697432,beta patakhe to tum kal bhi nahi phod paoge! #indvspak,"
Covertly Aggressive
",Geographical Aggression
1278697433,rt @vishnuarastu: #amanusa kahata hai #bollywood yaha~ #underworld ke kahane pe khuda ki ma~ salama karate hai! varana khuda ko harami ma~ ko vezya ka calana …,"
Overtly Aggressive
",Curse / Abuse
1278697434,"rt @aajtak: breaking news: varldakapa 2015: bharata ka cautha viketa gira, raina 6 rana banakara auta #aajtak #worldcup15 #indvssa","
Non Aggressive
",-
1278697435,"gau hatya nisedha kanuna.... ka birodha karane bale ye vahi loga hai, jo dhamga se apani cadhaढ़i nahi utara sakate hai huh :p :p #beefban","
Covertly Aggressive
",Political Aggression
1278697436,"#isis ke nizane para aba ऑsatreliya, sidani mem pakada़e gae do atamki http://t.co/jxtwo46e4p #sydney #aapsweep #delhidecides #kiskidilli #congress","
Non Aggressive
",-
1278697437,jina vyaktiyo ko #beefban se unake maulika adhikara ka ulghamna ho raha hai unhem yada rakhana cahiye ki ve kisi ki dharmika bhavanaom ko bhaड़ka rahe hai,"
Covertly Aggressive
",Communal Aggression
1278697438,#railbudget2015 : dibbom mem mobaila carja karane ki suvidha ka vistara kiya jayega| http://t.co/t1bj5i7kqx,"
Non Aggressive
",-
1278697439,rt @dushyantnamo: himdi bhasa ka sabase jyada apamana @starsportsindia ke himdi kaॉmemtri baॉksa mem hi hota hai| #indvssa,"
Covertly Aggressive
",General Non-threatening Aggression
1278697440,@jemin_p aur @regajha ? ugly indians fir jeet rahe hai @roflindian #indvssa,"
Covertly Aggressive
",Geographical Aggression
1278697441,kamgresa mukta bharata ke hamare sapanom ko rahula gamdhi sakara karate hue #kiskidilli #delhidecides,"
Covertly Aggressive
",Political Aggression
1278697442,rt @simplyhimanshur: izamta zarma ki anupastithi mem 308 ka skora prapta karana asana to nahi hoga| #indvssa,"
Non Aggressive
",-
1278697443,rt beantinsa: rt spoonia777: #msgincinemas msgthemessengerफ़ilma ke khilapha pradarzana aura phesabuka para apzabada bolane vale la… http://t.co/thbnkek5pb,"
Non Aggressive
",-
1278697444,"buleta chodie , buniyadi dhamca thika kijie prabhu ji se meri yahi agraha hai...#prabhukirela #railbudget2015","
Covertly Aggressive
",General Non-threatening Aggression
1278697445,zajiya ilmi kirana bedi ke ghara pahumci #aapsweep #aap #bjp #delhidecides #kiskidilli latest update http://t.co/gmyi2q1zij,"
Non Aggressive
",-
1278697446,"mnrega mem atirikta 5000cr, aura dem ge bhi cash ? vaha, isi lie kamgresa ko sahalaye the kya ? #superbudget #unionbudget2015 #sabkabudget","
Covertly Aggressive
",Political Aggression
1278697447,bhare bajara mem beabru ha़o gae barack ke mitra #kiskidilli #delhidecides,"
Covertly Aggressive
",Political Aggression
1278697448,dhavana ke caukom ke bada dhavana ke chakke.... #indvssa #wc2015,"
Covertly Aggressive
",General Non-threatening Aggression
1278697449,rt @saurabh12n: aja eka nasiba vale ne badanasiba @arvindkejriwalko pha़ona karake jitane ki badhai di aisa nasiba vale ko hi nasiba hota hai@aapforindia #aapswe…,"
Covertly Aggressive
",Political Aggression
1278698378,lo ji.. gai bhemsa pani me.. bc #indvssa,"
Covertly Aggressive
",Curse / Abuse
1278698549,namo is kadarkhan &amp; delhi ki janta is johnny lever #aapsweep #delhipolls https://t.co/harp28uwif,"
Covertly Aggressive
",Political Aggression
1278698611,gabbara simha kahake gaya jo dara gaya vo mara gaya @sdhawan25 #indvssa #cwc15,"
Non Aggressive
",-
1278698639,cala... #beefban cya nimittane ka hoina pana #maharashtra tremda jhala... ata lavakaraca #gudhipadava pana yeila... #marathi,"
Non Aggressive
",-
1278698664,"airnewsalerts: #cricketworldcup : virata kohali 46 rana banakara auta, bharata 136/2. #wcfirse #indvssa #wc15 #uhf","
Non Aggressive
",-
1278698688,@antharvani pk movie ki poyi padkunnav inkendi vayya encourage chesedi :p @chvrkraju,"
Non Aggressive
",-
1278698698,"@srbachchan, kamal haasan, rajnikanth at #shamitabh music launch. http://t.co/1itmlrkkue","
Non Aggressive
",-
1278698736,tahira imarana teri mam ka pakistana bhosada़i ke :-/ #indvssa,"
Overtly Aggressive
",Geographical Aggression
1278699124,ennama neenga pakistan ah ipadi vechu seiringalema... #indvspak.. #wewon'tgiveitback... http://t.co/cf7e9zvkx4,"
Non Aggressive
",-
1278699164,"#rahulonleave rahula kahate haim ki kamgresa eka parti nahim balki eka soca hai| vidya balana kahati hai ki jaham soca,vaha~ zaucalaya hai| kanphyuज़na hai bhai","
Covertly Aggressive
",Political Aggression
1278699166,"#rahulonleave rahula kahate haim ki kamgresa eka parti nahim balki eka soca hai| vidya balana kahati hai ki jaham soca,vaha~ zaucalaya hai| kanphyuज़na hai bhai","
Covertly Aggressive
",Political Aggression
1278699194,rt @abpmajhatv: video: kolhapurata 'nada khula' jallosa http://t.co/p8iirjbbk6 #jayahimda #indvspak http://t.co/l3pvlgizfk,"
Non Aggressive
",-
1278699227,rt @pradnyamayekar: naye rela bajeta mem rela #jumlaman ke jumalomse calegi #railbudget2015,"
Covertly Aggressive
",Political Aggression
1278699381,rt @blogonworkers: dillime bhajapa dresimga ruma me baithe baithe rana-auta ho jane vali khilada़i ho gayi! lolava! haya maim namaja़ padha़ ke atihu~! #aaps…,"
Covertly Aggressive
",Political Aggression
1278699886,bhare bajara mem beabru ha़o gae barack ke mitra #kiskidilli #delhidecides,"
Covertly Aggressive
",Political Aggression
1278703221,"rt @trending_india: pakistana to jita nahi sakta, lekina koito indiya ko haravo bc ~ paki phaॅnsa #indvssa","
Covertly Aggressive
",Political Aggression
1278703254,koi bata nahim veladana...... dhavana| #indvssa,"
Non Aggressive
",-
1278703329,rt @iamyoge: abd ab bowlers ki abcd nikaal raha hai #indvssa,"
Covertly Aggressive
",General Non-threatening Aggression
1278703425,sarhad par se khabar a rahi hai ki padosi mulk wale khud ko aag lga rahein hain xd ab ye khushi hai ya gum ? confusion confusion ! #indvsuae,"
Covertly Aggressive
",Geographical Aggression
1278703539,"rt @drunkvinodmehta: agara bharata maica hara to kala dil‍li me dharana du~ga, paka maica hara to is‍lamabada me dharana du~ga ~ kejarivala #indvspak http://…","
Covertly Aggressive
",Political Aggression
1278703886,are o kaka apake ghara adha kilo hiroina mile to vo saja nahim hogi jo saja apake ghara adha kilo biफ़ milane se hogi #beefban,"
Covertly Aggressive
",Political Aggression
1278704021,rt @twittiye: kala eka mitra bada़i bada़i phaika raha tha modi hamare gujarata se hai ambani hamare gujarata ka hai mene pucha kyom jadeja kya dilli se …,"
Covertly Aggressive
",Political Aggression
1278704078,"@gurmeetramrahim tu satha rahe to dila bhi gunagunata hai jo tu nahim to dhaड़kana bhi zora lagati hai #msg3successfulweeks""","
Non Aggressive
",-
1278704134,jo sarakari nahim hota vahi to asarakari hota hai| #aapsweep,"
Covertly Aggressive
",Political Aggression
1278704170,thoko tali...imdiya jita gaya| #indvssa,"
Non Aggressive
",-
1278704258,"@arvindkejriwal bata pe nahim tikate| bola tha dilli mem balatkara rokege.. aura bhajapa ke satha unhomne jo kiya, vo kya hai ? #aapsweep #aapkidilli","
Overtly Aggressive
",Political Aggression
1278704435,"rt @nbt_sports: #indvssa parnela ke gemdom para dhoni ne jada़e lagatara tina cauke, bharata ka skora 48 ovara ke bada danadanata hua 297/6 http://t.co/b2scc…","
Non Aggressive
",-
1278704569,"nitiza, mulayama aura mamata ki choड़iye, modi ki hara aura kejari ki jita ne cina aura pakistana ka bhi dila baग़ baग़ kara diya hai | #aapsweep #delhidecides","
Covertly Aggressive
",Political Aggression
1278704704,rt @sonusachdeva07: #msg3successfulweeks izka ki abo hava ka to pata nahi para jabase tuma mile ho mausama accha lagata hai........,"
Non Aggressive
",-
1278704796,#railbudget2015 agamana-pras‍thana ke lie yatriyom ko sms alarta bheja jaega,"
Non Aggressive
",-
1286453048,#beefban bipha para baina sarahaniya para jaba gaya ko polithina kacara sada hua khana khate hue dekhate ho to apaki bhavanaye taba kaha~ daphana ho jati hai dogalo...,"
Overtly Aggressive
",General Non-threatening Aggression
1286453589,rt @gurdeepinsan21: @gurmeetramrahim #blockbustermsg dhan dhan satguru tera hi aasra papaji aapji ko bhi maha shivratri ke paawan tyohaar k…,"
Non Aggressive
",-
1286453736,"""hamem 4 bacce cahie!"" ha ha .. maज़e mila gae ? aba to 4 bhi nahim bace ! #kiskidilli #delhidecides","
Covertly Aggressive
",Political Aggression
1286453857,mauka mauka mauka... mil gya india ko phatake fodne ka ek aur mauka...  #indvssa #cwc2015,"
Covertly Aggressive
",General Non-threatening Aggression
1286454022,"dilli valom, paira para kulhaड़i mubaraka ho| #aapsweep #kiskidilli #delhidecides","
Covertly Aggressive
",Political Aggression
1278685467,"""@economictimes: privatisation to negatively impact earnings of sc/sts: mayawati on #railbudget2015"" basa bhagavana ne jabana di hai to kucha bhi bologe|","
Covertly Aggressive
",Political Aggression
1278685469,#indvspak beta ab aaram se khelo,"
Covertly Aggressive
",General Non-threatening Aggression
1278685470,"@gurmeetramrahim #blockbustermsg le lo satsang mithiyan ghanariyan ,aa ke lutt lao lagiyan ne dhariyan","
Non Aggressive
",-
1278685471,hamari sirpha dresa ka kalara hara hai lekina hama pakistana nahi hai - aphrika india defeated sa by 130 runs @akashtv1 @rpbreakingnews #indvssa,"
Non Aggressive
",-
1278685472,"rt @punjabkesari: pulisa ke ala adhikariyom se mile kejarivala, svikara kara sakate haim badha़i hui suraksa - sutra #aapsweep #delhidecides #kejriwal…","
Non Aggressive
",-
1278685473,dilliwalon ko kejriwal ki sarkar mubarak ho :) #delhidecides,"
Covertly Aggressive
",Political Aggression
1278685474,titto ki maa ka *#&amp;* #indvssa #worldcup2015,"
Overtly Aggressive
",Curse / Abuse
1278685476,@gurmeetramrahim #blockbustermsg papa ji .ham jarur dyain rakha ga ji.nazara tu hukam ma hota ha.papa pb.par mehar kro ji.,"
Non Aggressive
",-
1278685478,ख़bara hai dhavana lambi pari khelana cahate haim kyomki unako dara hai ki unake auta hote unake sasurala vale unako ghara lejane a jae~ge| #indvssa,"
Non Aggressive
",-
1278685479,"""apa"" ke pasa camda dene valom ki kami nahi hai,kendra se paisa nahim milega to pakistana se paisa a jaega wifi,cctv ke lie. #fakefundrow #aapsweep","
Covertly Aggressive
",Political Aggression
1278685483,rt @vivek_ganesan: kaisi dilli unako cahie? phaisala ho gaya @thekiranbedi ji ! sirpha aurata ke lie nahim adami ko bhi suraksa cahie! #delhidecides @a…,"
Overtly Aggressive
",Political Aggression
1278685486,rt @panksgr878: ab diviliyarsa ne bharata ke viruddha pichali 5 pariyom mem 1 zataka aura 3 ardhazataka banaye haim kala kya ummida hai? mitrom #indvssa #wewo…,"
Non Aggressive
",-
1278685487,rt @subhsaurabh: @arvindkejriwal @drkumarvishwas @therahulmehra : isa camatkara ko sara jhukakara salama - zukriya dilli #aapsweep,"
Non Aggressive
",-
1278685488,mujhe dara hai ki plesisa aura diviliyarsa ki spelimga yada karane ke cakkara me bharatiya gemdabaja apani laina lemgtha na bhula jae~ ! #indvssa,"
Non Aggressive
",-
1278685489,"jo pakistana ki alocana kara rahem unhem yada rakhana cahie ""alocana to zariphom ki kari jati hai"" ""pakistana ki to ma~ bahana eka kari jati hai"" #indvspak","
Covertly Aggressive
",General Non-threatening Aggression
1278685490,satyameva jayate #delhidecides #aapsweep,"
Covertly Aggressive
",Political Aggression
1278685491,are bc kya kara rahe ho viketa lo ina gamdu logo~ ke #indvssa,"
Overtly Aggressive
",Curse / Abuse
1278685492,calo bhaiya nahaya dhoya jaya aba- jivana age badha़ae #wc2015 #indvspak,"
Non Aggressive
",-
1278685493,"rt @banarasi_mata: dilli valo kerivala ji pablika taॉileta me tarabaina laga kara bijali utpadana karava lege , bijali ke bila adhe kya pure mapha karava de…","
Covertly Aggressive
",Political Aggression
1278685495,rt @aasshiqq: kaash ye match ki tarah meri zindagi bhi hoti. jaldi khatm ho jaati. #indvsuae,"
Non Aggressive
",-
